,tweet_dt,topic,id,username,name,tweet,like_count,reply_count,retweet_count,created_at
4038,2020-05-27,Hongkongprotests,1265547042845327361,NLLAI2,NLLAI,"Hong Kong police fire pepperballs at protesters and arrest 180 people for unauthorised assembly

#StandWithHongKong… https://t.co/O3CvTFO9zU",1,0,1,2020-05-27 07:35:02
4039,2020-05-27,Hongkongprotests,1265547009940955136,lammomomomo,Mo,"The police shot pepper bullets to the citizens at Central!!!!!!
#StandWithHongKong 
#HongKongProtests… https://t.co/tOn1Ct5a11",4,0,2,2020-05-27 07:34:54
4040,2020-05-27,Hongkongprotests,1265546960012009472,Jerryla68921961,Jerry choi,"Fuck hong kong police. They suddenly shoot hongkonger.

#HongKongProtests #hongKongindependence #HongKongPolice… https://t.co/VG85XLZbtJ",1,0,0,2020-05-27 07:34:42
4041,2020-05-27,Hongkongprotests,1265546796379648000,YyHker,YY,"@6all_mui #HongKong has become #HKPoliceState.

#StandWithHongKong #HongKongProtests #NationalSecurityLaw https://t.co/WGmqtulXY9",27,0,22,2020-05-27 07:34:03
4042,2020-05-27,Hongkongprotests,1265546788699869184,5dn1lSorkui2006,SorKui2006_5DN1L,"Shopping and walking down the street are now illegal in Hong Kong.
#HKPoliceBrutality 
#HongKongProtests https://t.co/aXuXpsxXXR",0,0,0,2020-05-27 07:34:01
4043,2020-05-27,Hongkongprotests,1265546660559626240,Babyblair10,Babyblair,"The world must know
#StandWithHongKong #CCPChinaJudgmentDay #HongKongProtests #FreeHongKong #StandwithHK… https://t.co/0p8Tyk0ebL",2,0,2,2020-05-27 07:33:31
4044,2020-05-27,Hongkongprotests,1265546473363693573,Babyblair10,Babyblair,"Stop #CCP invasion!
#StandWithHongKong #CCPChinaJudgmentDay #HongKongProtests #FreeHongKong #StandwithHK… https://t.co/3pnDU1UZuX",1,0,1,2020-05-27 07:32:46
4045,2020-05-27,Hongkongprotests,1265546438366429187,kalafun1,kalafun,"This is what happen in Hong Kong right now, police shooting people without any weapon, shooting innocent people who… https://t.co/cKXkl1nwJW",1,0,1,2020-05-27 07:32:38
4046,2020-05-27,Hongkongprotests,1265546428891500546,LamALan6,Lam A Lan,@benedictrogers Its so touching!  Thanks for #StandWithHongKong #HongKongProtests,0,0,0,2020-05-27 07:32:36
4047,2020-05-27,Hongkongprotests,1265546283139371012,yellobject,黃色不明物,Now the #CCP media (人民日報）has started to vilify the leaders as bugs as they have been vilified the #HongKongProtests… https://t.co/w6zHAOYrDk,1,0,0,2020-05-27 07:32:01
4048,2020-05-27,Hongkongprotests,1265546260066467840,hy_olia,Olia,"Shooting in CBD during lunch hour. Pepper guns. Mass arrests. 

This is #HongKong.

#StandWithHongKong… https://t.co/CDuTTZo319",4,0,1,2020-05-27 07:31:55
4049,2020-05-27,Hongkongprotests,1265546258246230016,anti_elab,antiELAB,"[15:25] #MongKok Portland Street and Changsha Street junction: 20+ police carryin gout stop and search

Source:… https://t.co/lBGOzB3JkX",20,0,18,2020-05-27 07:31:55
4050,2020-05-27,Hongkongprotests,1265546210246615040,NoelFranca1,Noel Franca,"@dcexaminer @realDonaldTrump Today, to make sure #ProChinese law makers pass the controversial bill of national ant… https://t.co/VzjI69i0P9",7,0,1,2020-05-27 07:31:43
4051,2020-05-27,Hongkongprotests,1265546185940533249,Chijaisleep,Chi Jai😷,"@studioincendo That’s how the right to protest, freedom of speech, right to strike,freedom of assembly is 'upheld'… https://t.co/zfXWHnkMz7",1,0,0,2020-05-27 07:31:38
4052,2020-05-27,Hongkongprotests,1265546137559339013,mandy01232,mandy0123,"'According to Hong Kong’s mini-constitution, the Basic Law, the territory is required to implement its own national… https://t.co/02MOCo96kA",0,0,0,2020-05-27 07:31:26
4053,2020-05-27,Hongkongprotests,1265545955274784768,MichaelChanHK1,hamadguaHK😷,"@lv_inn @OzraeliAvi 🤦‍♂️Now I understand y ppl tell us to stay at school. #PoliceBrutality 
#HongKongProtests 
#StandWithHongKong",2,0,0,2020-05-27 07:30:43
4054,2020-05-27,Hongkongprotests,1265545927281999872,Howard87954527,HongKongerz,@OzraeliAvi On the right is the moment just before the footage. A water bottle hit them and caused the massacre.… https://t.co/PMzK3amYwr,0,0,0,2020-05-27 07:30:36
4055,2020-05-27,Hongkongprotests,1265545906700648450,CuriouserD,TheMadHatter,"the kids arent alright...
#HongKongProtests https://t.co/MSXuXwbDVQ",1,0,0,2020-05-27 07:30:31
4056,2020-05-27,Hongkongprotests,1265545872110223361,OVALTINE____,華田妹 waa1tin4mui6,"1500Mong Kok 
A group of citizens were shouting slogan in Shantung Street. #hongkongpolicebrutality rush foward and… https://t.co/Kd4Pzy6thu",28,0,32,2020-05-27 07:30:23
4057,2020-05-27,Hongkongprotests,1265545696654041089,Frankie24442852,Frankie.W,"Hongkong Police Force is Fucking Crazy. 

#HongKongProtests 
#StandWithHongKong 
#FiveDemandsNotOneLess https://t.co/G6qAGwDnR8",4,0,5,2020-05-27 07:29:41
4058,2020-05-27,Hongkongprotests,1265545646150488065,alesi80664450,alesi,The #hkpolice controlled by the autocratic #CCP and hk government shoot to the citizens who refuse to sing the awfu… https://t.co/bnFLaKQX9b,1,0,1,2020-05-27 07:29:29
4059,2020-05-27,Hongkongprotests,1265545578114580481,natsume1901,め🖤,Riot police indiscriminately fired rubber bullets against unarmed civilians during lunch hours. #HongKongProtests… https://t.co/t1CN402HPl,1,0,1,2020-05-27 07:29:13
4060,2020-05-27,Hongkongprotests,1265545573937172483,Babyblair10,Babyblair,"#HKPolice are really “professional”
#StandWithHongKong #CCPChinaJudgmentDay #HongKongProtests #FreeHongKong… https://t.co/osVrUCaPzl",1,0,1,2020-05-27 07:29:12
